Confound,TP,Model,Accuracy Baseline-CB,Accuracy CB,Accuracy Diff CB - BL
LEQ_Relocation valence,FU3,Gradient Boosting,0.6780094617761439,0.674055023439515,-0.0039544383366288
LEQ_Relocation valence,FU3,Kernel SVM,0.6929384352417026,0.6878321862215097,-0.0051062490201929
LEQ_Distress valence,FU3,Linear Regression,0.6238911744031395,0.5855313462423447,-0.0383598281607947
LEQ_Distress valence,FU3,Linear SVM,0.6543363102612988,0.6065834188820843,-0.0477528913792144
LEQ_Distress valence,FU3,Gradient Boosting,0.6780094617761439,0.6739393429855924,-0.0040701187905514
LEQ_Distress valence,FU3,Kernel SVM,0.6929384352417026,0.693825381935138,0.0008869466934353
ESPAD_Alc_8b,FU3,Linear Regression,0.6238911744031395,0.5659392494298155,-0.0579519249733239
ESPAD_Alc_8b,FU3,Linear SVM,0.6543363102612988,0.6158583363254325,-0.0384779739358662
ESPAD_Alc_8b,FU3,Gradient Boosting,0.6780094617761439,0.6217203643112524,-0.0562890974648914
ESPAD_Alc_8b,FU3,Kernel SVM,0.6929384352417026,0.6662750388130049,-0.0266633964286977
PHQ_Total,FU3,Linear Regression,0.6238911744031395,0.6094261238071639,-0.0144650505959755
PHQ_Total,FU3,Linear SVM,0.6543363102612988,0.6150689278507963,-0.0392673824105025
PHQ_Total,FU3,Gradient Boosting,0.6780094617761439,0.6683261860091128,-0.009683275767031
PHQ_Total,FU3,Kernel SVM,0.6929384352417026,0.6887159722468053,-0.0042224629948973
CAPE_Depression Frequency,FU3,Linear Regression,0.6238911744031395,0.6000792695569501,-0.0238119048461893
CAPE_Depression Frequency,FU3,Linear SVM,0.6543363102612988,0.6194846340957708,-0.0348516761655279
CAPE_Depression Frequency,FU3,Gradient Boosting,0.6780094617761439,0.6774952842831352,-0.0005141774930086
CAPE_Depression Frequency,FU3,Kernel SVM,0.6929384352417026,0.6853607333761499,-0.0075777018655527
ESPAD_SubAbuse_Total,FU3,Linear Regression,0.6238911744031395,0.5878352836762869,-0.0360558907268525
ESPAD_SubAbuse_Total,FU3,Linear SVM,0.6543363102612988,0.5985754868693202,-0.0557608233919786
ESPAD_SubAbuse_Total,FU3,Gradient Boosting,0.6780094617761439,0.6940865163368615,0.0160770545607176
ESPAD_SubAbuse_Total,FU3,Kernel SVM,0.6929384352417026,0.6972474373302722,0.0043090020885695
K6+_Total,FU2,Linear Regression,0.6504929602503022,0.6579202517243832,0.0074272914740809
K6+_Total,FU2,Linear SVM,0.6748396501457725,0.6689280381142005,-0.0059116120315719
K6+_Total,FU2,Gradient Boosting,0.7136526701272843,0.706042451823935,-0.0076102183033492
K6+_Total,FU2,Kernel SVM,0.7379595392163835,0.7360492071393018,-0.0019103320770816
ADRS_adrs_sum,FU2,Linear Regression,0.6504929602503022,0.6281751759937425,-0.0223177842565597
ADRS_adrs_sum,FU2,Linear SVM,0.6748396501457725,0.6365871435682288,-0.0382525065775437
ADRS_adrs_sum,FU2,Gradient Boosting,0.7136526701272843,0.6941833179264737,-0.0194693522008105
ADRS_adrs_sum,FU2,Kernel SVM,0.7379595392163835,0.7153784754319845,-0.0225810637843989
CGT_CGT Delay aversion,FU3,Linear Regression,0.6238911744031395,0.6279166645595546,0.0040254901564151
CGT_CGT Delay aversion,FU3,Linear SVM,0.6543363102612988,0.6229908264767906,-0.0313454837845081
CGT_CGT Delay aversion,FU3,Gradient Boosting,0.6780094617761439,0.6741835994194485,-0.0038258623566953
CGT_CGT Delay aversion,FU3,Kernel SVM,0.6929384352417026,0.6881691766585921,-0.0047692585831105
CGT_CGT Overall proportion bet,FU3,Linear Regression,0.6238911744031395,0.619309533080817,-0.0045816413223224
CGT_CGT Overall proportion bet,FU3,Linear SVM,0.6543363102612988,0.619051369707145,-0.0352849405541537
CGT_CGT Overall proportion bet,FU3,Gradient Boosting,0.6780094617761439,0.6846645646116424,0.0066551028354985
CGT_CGT Overall proportion bet,FU3,Kernel SVM,0.6929384352417026,0.6976362627248499,0.0046978274831472
CGT_CGT Risk adjustment,FU3,Linear Regression,0.6238911744031395,0.6163792144348977,-0.0075119599682417
CGT_CGT Risk adjustment,FU3,Linear SVM,0.6543363102612988,0.6146801024562184,-0.0396562078050803
CGT_CGT Risk adjustment,FU3,Gradient Boosting,0.6780094617761439,0.6775227820959528,-0.000486679680191
CGT_CGT Risk adjustment,FU3,Kernel SVM,0.6929384352417026,0.7010542724647648,0.0081158372230621
CGT_CGT Risk taking,FU3,Linear Regression,0.6238911744031395,0.6049206545870145,-0.0189705198161249
CGT_CGT Risk taking,FU3,Linear SVM,0.6543363102612988,0.6196769923587687,-0.03465931790253
CGT_CGT Risk taking,FU3,Gradient Boosting,0.6780094617761439,0.6721060290376905,-0.0059034327384533
CGT_CGT Risk taking,FU3,Kernel SVM,0.6929384352417026,0.6821853365226582,-0.0107530987190443
CTQ_Denial sum,FU3,Linear Regression,0.6238911744031395,0.606958716617023,-0.0169324577861164
CTQ_Denial sum,FU3,Linear SVM,0.6543363102612988,0.6278092650561587,-0.02652704520514
CTQ_Denial sum,FU3,Gradient Boosting,0.6780094617761439,0.6570608694113066,-0.0209485923648372
CTQ_Denial sum,FU3,Kernel SVM,0.6929384352417026,0.6918825824428678,-0.0010558527988347
LEQ_Devience mean frequency,FU3,Linear Regression,0.6238911744031395,0.6381416156324118,0.0142504412292723
LEQ_Devience mean frequency,FU3,Linear SVM,0.6543363102612988,0.6199802900734792,-0.0343560201878195
LEQ_Devience mean frequency,FU3,Gradient Boosting,0.6780094617761439,0.6712896284571388,-0.006719833319005
LEQ_Devience mean frequency,FU3,Kernel SVM,0.6929384352417026,0.6848035075830751,-0.0081349276586275
LEQ_Relocation mean frequency,FU3,Linear Regression,0.6238911744031395,0.6303451323182109,0.0064539579150714
LEQ_Relocation mean frequency,FU3,Linear SVM,0.6543363102612988,0.6207526309401598,-0.033583679321139
LEQ_Relocation mean frequency,FU3,Gradient Boosting,0.6780094617761439,0.6659309052659259,-0.0120785565102179
LEQ_Relocation mean frequency,FU3,Kernel SVM,0.6929384352417026,0.6784843205574912,-0.0144541146842114
NEO_Conscientiousness mean,FU2,Linear Regression,0.6504929602503022,0.6491973618715778,-0.0012955983787243
NEO_Conscientiousness mean,FU2,Linear SVM,0.6748396501457725,0.6535849392021617,-0.0212547109436108
NEO_Conscientiousness mean,FU2,Gradient Boosting,0.7136526701272843,0.7005043376235511,-0.0131483325037331
NEO_Conscientiousness mean,FU2,Kernel SVM,0.7379595392163835,0.723734089454597,-0.0142254497617864
NEO_Extroversion mean,FU2,Linear Regression,0.6504929602503022,0.6535701841712295,0.0030772239209272
NEO_Extroversion mean,FU2,Linear SVM,0.6748396501457725,0.6398741378084335,-0.034965512337339
NEO_Extroversion mean,FU2,Gradient Boosting,0.7136526701272843,0.6922066770959254,-0.0214459930313588
NEO_Extroversion mean,FU2,Kernel SVM,0.7379595392163835,0.724307046860556,-0.0136524923558274
BIS & ADRS & NEO Extro,FU2,Linear Regression,0.6504929602503022,0.578064246604565,-0.0724287136457372
BIS & ADRS & NEO Extro,FU2,Linear SVM,0.6748396501457725,0.5475151105738463,-0.1273245395719262
BIS & ADRS & NEO Extro,FU2,Gradient Boosting,0.7136526701272843,0.5709036123160065,-0.1427490578112777
BIS & ADRS & NEO Extro,FU2,Kernel SVM,0.7379595392163835,0.6267499822228543,-0.1112095569935291
BIS & NEO Consc & NEO Extro,FU2,Linear Regression,0.6504929602503022,0.5717700703974969,-0.0787228898528052
BIS & NEO Consc & NEO Extro,FU2,Linear SVM,0.6748396501457725,0.5688258195264169,-0.1060138306193556
BIS & NEO Consc & NEO Extro,FU2,Gradient Boosting,0.7136526701272843,0.5734235227191922,-0.1402291474080921
